Rollno,Name,Gender,Caste,PWD,Rank,prefl,Seat Allotted,Preference Number
XYZ0001,student1172,F,Res,No,931,"[['NITG', 'CIVIL'], ['NITG', 'ECE'], ['MNNIT', 'CSE'], ['NITB', 'MECH'], ['NITK', 'CSE'], ['VNIT', 'ECE'], ['SVNIT', 'CSE'], ['NITG', 'MECH'], ['VNIT', 'MECH'], ['MNNIT', 'CSE']]","['NITG', 'CIVIL']",1
XYZ0004,student2999,M,Res,No,4042,"[['NITAP', 'CIVIL'], ['NITC', 'MECH'], ['MNNIT', 'CSE']]","Sorry, you got no seat",0
XYZ0004,student1444,M,Gen,No,1644,"[['NITB', 'CSE'], ['SVNIT', 'ECE'], ['NITC', 'CSE'], ['NITG', 'MECH'], ['VNIT', 'MECH'], ['MNNIT', 'MECH'], ['NITK', 'CSE'], ['NITT', 'ECE'], ['NITB', 'CSE'], ['NITAP', 'CSE']]","['NITB', 'CSE']",1
XYZ0004,student746,F,Gen,No,1099,"[['VNIT', 'CSE'], ['NITG', 'ECE'], ['NITC', 'ECE'], ['SVNIT', 'ECE'], ['NITG', 'MECH'], ['NITT', 'MECH'], ['NITG', 'ECE'], ['NITG', 'ECE'], ['MNNIT', 'ECE'], ['NITG', 'CSE']]","['VNIT', 'CSE']",1
XYZ0005,student2072,F,Gen,Yes,4423,"[['NITG', 'MECH'], ['NITAP', 'ECE'], ['NITAP', 'MECH']]","['NITAP', 'ECE']",2
XYZ0005,student3767,M,Gen,No,214,"[['NITK', 'ECE'], ['NITB', 'CSE'], ['MNNIT', 'ECE'], ['NITG', 'MECH'], ['NITB', 'ECE'], ['VNIT', 'CSE'], ['SVNIT', 'ECE']]","['NITK', 'ECE']",1
XYZ0005,student2150,M,Gen,No,509,"[['NITK', 'MECH'], ['VNIT', 'MECH'], ['NITG', 'ECE'], ['NITC', 'CSE'], ['NITB', 'MECH'], ['NITT', 'MECH'], ['SVNIT', 'ECE'], ['MNNIT', 'MECH'], ['SVNIT', 'MECH']]","['NITK', 'MECH']",1
XYZ0006,student686,F,Gen,No,4128,"[['NITK', 'CSE'], ['SVNIT', 'MECH'], ['MNNIT', 'MECH']]","Sorry, you got no seat",0
XYZ0006,student927,F,Gen,No,151,"[['NITC', 'CSE'], ['NITK', 'ECE'], ['NITG', 'MECH'], ['NITAP', 'MECH'], ['NITK', 'ECE'], ['NITC', 'CSE'], ['NITT', 'MECH'], ['VNIT', 'MECH']]","['NITC', 'CSE']",1
XYZ0008,student4389,M,Gen,No,3679,"[['NITAP', 'AGRI'], ['MNNIT', 'MECH'], ['NITG', 'ECE'], ['NITAP', 'ECE'], ['NITT', 'MECH'], ['NITG', 'CSE'], ['NITB', 'ECE'], ['VNIT', 'CSE'], ['MNNIT', 'CSE'], ['NITB', 'CSE']]","Sorry, you got no seat",0
